pol_id,name,nickname,suffix,party
59526,Ann Kirkpatrick,,,Dem
59572,David Phillip Roe,Phil,,Rep
59590,James Andrew Himes,Jim,,Dem
59595,Peter Theron,,,Rep
59608,Alan Stuart Franken,Al,,Dem
59613,Rochelle Johnson Pingree,Chellie,,Dem
59617,Nicola Sauvage Tsongas,Niki,,Dem
59621,Mark Zaccaria,,,Rep
59656,William Cassidy,Bill,,Rep
59669,John Fleming,,,Rep
59681,Duncan Duane Hunter,,,Rep
59694,Richard L. Hanna,,,Rep
59726,Michelle Lujan Grisham,,,Dem
59740,Lee Zeldin,,,Rep
59745,Mariannette Miller-Meeks,,,Rep
59885,Marcia L. Fudge,,,Dem
59898,Alan Mark Grayson,,,Dem
59911,Michael F. Bennet,,,Dem
59914,Michael Quigley,Mike,,Dem
59919,Philip Black,Phil,,Dem
60051,Christopher J. Christie,Chris,,Rep
60075,Terence Richard McAuliffe,Terry,,Dem
60108,Mark DeSaulnier,,,Dem
60118,William Lewis Owens,Bill,,Dem
60120,Scott Philip Brown,,,Rep
60121,Martha Coakley,,,Dem
60122,Joseph Patrick Kennedy,Joe,I,Dem
60128,Theodore E. Deutch,Ted,,Dem
60158,Robert Dold,,,Rep
60165,Darrel Miller,,,Dem
60166,Adam Daniel Kinzinger,,,Rep
60204,Thomas W. Corbett,Tom,Jr.,Rep
60208,Randal Howard Paul,Rand,,Rep
60212,David Cozard,,,Dem
60215,William Flores,Bill,,Rep
60226,Rick Crawford,,,Rep
60231,John Timothy Griffin,Tim,,Rep
60238,Stephen Allen Womack,Steve,,Rep
60295,Randolph Blake Farenthold,,,Rep
60314,James B. Renacci,Jim,,Rep
60318,Scott Rigell,,,Rep
60345,Timothy Eugene Scott,Tim,,Rep
60351,Jon Daniel Runyan,,,Rep
60381,Terry Edward Branstad,,,Rep
60394,Kristi Lynn Noem,,,Rep
60410,Bruce Poliquin,,,Rep
60414,Paul Richard LePage,,,Rep
60420,Nimrata Randhawa Haley,Nikki,,Rep
60421,Larry Bucshon,,,Rep
60423,Jackie Walorski,,,Rep
60424,Todd Young,,,Rep
60428,Bill L. Johnson,,,Rep
60432,Patrick Leo Meehan,Pat,,Rep
60434,Manan Trivedi,,,Dem
60439,Steven McCarty Palazzo,,,Rep
60472,William Steve Southerland,,I,Rep
60481,Richard B. Nugent,Rich,,Rep
